name;ru;en
Abc.Model.ApplicationDomain;Предметная область;Domain model
Abc.Model.ApplicationDomain.DisableSPM;Отключить настройку прав доступа;
Abc.Model.ApplicationDomain.EditRights;Редактировать права доступа;
Abc.Model.ApplicationDomain.EnableSPM;Включить настройку прав доступа;
Abc.Model.ApplicationDomain.GenerateEditControl;Сгенерировать edit;
Abc.Model.ApplicationDomain.GenerateListControl;Сгенерировать list;
Abc.Model.ApplicationDomain.GenerateViewControl;Сгенерировать view;
Abc.Model.ApplicationDomain.ViewClass;Свойства класса;
Abc.Model.ApplicationDomain.ViewList;Модель предметной области;
Abc.Model.C_Language;Язык;Language
Abc.Model.C_Language.IsDefault;Значение по умолчанию;
Abc.Model.C_Language.LanguageCode;Код языка;
Abc.Model.C_Language.Title;Наименование;Title
Abc.Model.MailMessage;Письмо;Mail message
Abc.Model.MailMessage-pl;Журнал почтовых уведомлений;Sent mail log
Abc.Model.MailMessage.Attachment;Вложение;Attachment
Abc.Model.MailMessage.AttachmentName;Наименование вложения;Attachment name
Abc.Model.MailMessage.AttemptsToSendCount;Количество попыток отправки;Amount of send attempts
Abc.Model.MailMessage.Body;Сообщение;Body
Abc.Model.MailMessage.CopyRecipients;Получатели копии;CC
Abc.Model.MailMessage.Error;Ошибка;Error
Abc.Model.MailMessage.IsSent;Отправлено;Is sent
Abc.Model.MailMessage.LastSendAttemptDate;Последняя попытка отправки;Last send attempt
Abc.Model.MailMessage.Recipients;Получатели;Recipients
Abc.Model.MailMessage.Subject;Тема;Subject
Abc.Model.MailMessage.Title;Название;Title
Abc.Model.MailTemplate;Шаблон почтового уведомления;Mail template
Abc.Model.MailTemplate-pl;Шаблоны почтовых уведомлений;Mail templates
Abc.Model.MailTemplate.Comment;Комментарий;Comments
Abc.Model.MailTemplate.IsSystem;Системное;Is system
Abc.Model.MailTemplate.TemplateBody;Сообщение;Body
Abc.Model.MailTemplate.TemplateSubject;Тема;Subject
Abc.Model.MailTemplate.Title;Имя;Name
Abc.Model.N_DDL;Журнал модификации структуры БД;DDL
Abc.Model.N_DDL.LastModifiedDate;Дата последней модификации;Last modified date
Abc.Model.N_DDL.Title;Команда;Statement
Abc.Model.N_DownloadLog;Журнал скачивания файлов;Download log
Abc.Model.N_DownloadLog-pl;Журнал скачивания файлов;Download log
Abc.Model.N_DownloadLog.File;Файл;
Abc.Model.N_DownloadLog.FileGUID;ИД Файла;
Abc.Model.N_DownloadLog.IP;IP;IP
Abc.Model.N_DownloadLog.IsDeleted;Удален;Deleted
Abc.Model.N_DownloadLog.LastModifiedDate;Дата последней модификации;Last modified date
Abc.Model.N_DownloadLog.LastModifiedUser;Последний редактировавший пользователь;Last modified by
Abc.Model.N_DownloadLog.Title;Наименование;Title
Abc.Model.N_File;Файл;File
Abc.Model.N_File-pl;Файлы;Files
Abc.Model.N_File.BeginDate;Дата начала действия;
Abc.Model.N_File.CheckedOutBy;Кем извлечено;
Abc.Model.N_File.CreateNew-folderlist;Создать файл;New file
Abc.Model.N_File.Creator;Создавший пользователь;
Abc.Model.N_File.EndDate;Дата окончания действия;
Abc.Model.N_File.Extension;Расширение;
Abc.Model.N_File.FeatureGUID;Guid элемента;
Abc.Model.N_File.Folder;Папка;Folder
Abc.Model.N_File.Guid;Guid;
Abc.Model.N_File.GuidPath;Путь Guid;
Abc.Model.N_File.IsDeleted;Признак Удалено;
Abc.Model.N_File.IsDiskStorage;Хранится на диске;
Abc.Model.N_File.LastModifiedDate;Дата последней модификации;Last modified date
Abc.Model.N_File.LastModifiedUser;Последний редактировавший пользователь;Last modified by
Abc.Model.N_File.Length;Размер, байт;
Abc.Model.N_File.MainGUID;Guid основной версии;
Abc.Model.N_File.Password;Password;
Abc.Model.N_File.Path;Путь;
Abc.Model.N_File.PublishDate;Дата публикации;
Abc.Model.N_File.StorageParameter;Параметр хранения;
Abc.Model.N_File.StorageType;Тип хранения;
Abc.Model.N_File.Tag;Tag;
Abc.Model.N_File.Title;Наименование;Title
Abc.Model.N_File.VersionNumber;Номер версии;
Abc.Model.N_FileData;Данные для файла;File data
Abc.Model.N_FileData.Data;Данные;
Abc.Model.N_FileData.Extension;Расширение;
Abc.Model.N_FileData.LastModifiedDate;Дата последнего изменения;
Abc.Model.N_FileData.Owner;Владелец;
Abc.Model.N_FileData.Size;Размер;
Abc.Model.N_FileData.Title;Наименование;Title
Abc.Model.N_FileData.Upload;Загрузить файлы;Upload files
Abc.Model.N_FileData.Upload-extensions;Допустимые расширения файлов;Allowed file types
Abc.Model.N_FileData.Upload-extensionsmsg;Расширение файла {0} запрещено для загрузки в данную папку.;File {0} can't be uploaded to the current folder because of extension restrictions
Abc.Model.N_FileData.Upload-file1;Файл 1;File 1
Abc.Model.N_FileData.Upload-file2;Файл 2;File 2
Abc.Model.N_FileData.Upload-file3;Файл 3;File 3
Abc.Model.N_FileData.Upload-file4;Файл 4;File 4
Abc.Model.N_FileData.Upload-file5;Файл 5;File 5
Abc.Model.N_FileData.Upload-file6;Файл 6;File 6
Abc.Model.N_FileData.Upload-maxfilesize;Максимальный размер загружаемых файлов;File size limit
Abc.Model.N_FileData.Upload-maxfilesizemsg;Размер файла {0} превышает максимальный разрешенный.;File {0} size exceeds the allowable limit
Abc.Model.N_FileData.Upload-unzip;Распаковывать zip архивы;Unzip archieves
Abc.Model.N_FileLibrary;Библиотека;File library
Abc.Model.N_FileLibrary-pl;Библиотеки файлов;File libraries
Abc.Model.N_FileLibrary.FileLibraryType;Тип;File library type
Abc.Model.N_FileLibrary.MaxFileSize;Максимальный размер файла;File size limit
Abc.Model.N_FileLibrary.StorageParameter;Параметр хранения;
