name;ru;en;es
Account.Password;Пароль;Password;Contraseña
Account.Password.Placeholder;напр. ••••••••••;e.g. ••••••••••;por ejemplo, ••••••••••
Account.UserName.Placeholder;User;Jonson;Usuario
Account.PasswordReset;Забыли пароль?;Forgot password?;Has olvidado tu contraseña?
Account.Register;Зарегистрироваться;Sign up;Registrarse
Account.RegisterTitle;Создание нового профиля;Create your account;Crear su cuenta
Account.Email;Email;Email;Correo electrónico
Account.Email.Placeholder;напр. you@example.com;e.g. you@example.com;Por ejemplo, tu@ejemplo.com
Account.RememberMe;Запомнить меня;Remember me;Recuérdame
Account.SetPasswordTitle;Восстановление пароля;Password reset;Restablecer contraseña
Account.NewPassword;Новый пароль;New password;Nueva contraseña
Account.SignIn;Войти;Continue;Continuar
Account.SignInTitle;Вход в систему;Sign in;Entrada en el sistema
Account.SignOut;Выйти;Sign out;Cerrar sesión
Account.UserName;Имя пользователя;User name;Nombre de usuario
Account.DontHaveAccountQ;;Don't have an account?;¿No tienes cuenta?
Account.AlreadyHaveAccountQ;;Already have an account?;¿Ya tienes cuenta?
Account.OrSignUpWith;или;or;O regístrate con
Account.OrSignInWith;или;or;O inicia sesión con
Account.PasswordResetTitle;Восстановление пароля;Forgot Password;Restablecer contraseña
Account.PasswordResetHint;Введите, пожалуйста, свой адрес электронной почты и мы отправим вам ссылку для восстановления пароля;Please enter your email address and we'll send you a link to reset your password.;Por favor, introduce tu correo electrónico
Account.SignIn.Google;Войти через Google;Sign in with Google;Iniciar sesión con Google
Account.SignIn.Facebook;Войти через Facebook;Sign in with Facebook;Iniciar sesión con Facebook
Account.SignUp.Google;Регистрация через Google;Sign up with Google;Registrarse con Google
Account.SignUp.Facebook;Регистрация через Facebook;Sign up with Facebook;Registrarse con Facebook

Common.Actions;Действия;Actions;Acciones
Common.All;Все;All;Todos
Common.AllExcept;Все, кроме;All except;Todos excepto
Common.AllItems;Все записи;All items;Todos los elementos
Common.Back;Назад;Back;Atrás
Common.Buttons.AddDocument;Добавить документ;Add document;Añadir documento
Common.Buttons.CheckAll;выбрать все;check all;Seleccionar todo
Common.Buttons.Print;Печать...;Print...;Imprimir
Common.Buttons.UnCheckAll;очистить все;clear all;desmarcar todo
Common.OK;OK;OK;Aceptar
Common.Close;Закрыть;Close;Cerrar
Common.Cancel;Отмена;Cancel;Cancelar
Common.ChangeHistory;История изменений;Change history;Historial de cambios
Common.ChangeRequestModeDisabledMessage;Режим запросов на изменение нормативно-справочной информации отключен;The mode of requests for changes in regulatory and reference information is deactivated;El modo de solicitudes para cambiar la información normativa y de referencia está desactivado
Common.Clear;Очистить;Clear;Limpiar
Common.Condition;Условие;Condition;Condición
Common.Continue;Продолжить;Continue;Continuar
Common.Controls.FileList.AttachFile;Прикрепить файл;Attach file;Adjuntar archivo
Common.Controls.FileList.AttachMore;Прикрепить ещё;Attach another;Adjuntar más
Common.Controls.MultiObject.ChooseObjects;Выберите объекты;Choose objects;Elegir objetos
Common.Controls.MultiObject.SelectObjects;Выбрать;Choose;Seleccionar
Common.Controls.SelectObject;Выберите объект;Select object;Seleccionar objeto
Common.Controls.SelectObjectHierarchic.MustSelectAlert;Выберите объект!;Please select an object!;¡Por favor, selecciona un objeto!
