name;ru;en
tango.tasks.dto_task;Задача;Task
tango.tasks.dto_task-pl;Задачи;Tasks
tango.tasks.dto_task.viewlist;Реестр задач
tango.tasks.dto_task.Title;Название;Title
tango.tasks.dto_task.Class;Класс;Class
tango.tasks.dto_task.ExecutionTimeout;Таймаут выполнения задачи, мин;Execution timeout
tango.tasks.dto_task.Interval;Интервал;
tango.tasks.dto_task.Interval-1;Время запуска;Run time
tango.tasks.dto_task.Interval-2;Интервал запуска;Invoke interval
tango.tasks.dto_task.IsActive;Активна;Is active
tango.tasks.dto_task.Status;Состояние;Status
tango.tasks.dto_task.LastStartDate;Последний запуск;Last start date
tango.tasks.dto_task.Method;Метод;Method
tango.tasks.dto_task.Parameters;Параметры;
tango.tasks.dto_task.Start;Запуск;Run
tango.tasks.dto_task.Start-op;Запуск;Run
tango.tasks.dto_task.StartFromService;Старт службой;Start from service
tango.tasks.dto_task.StartType;Тип старта;Start type
tango.tasks.dto_task.StartTypeTitle;Тип старта;Start type
tango.tasks.dto_task.StartType-1;С заданным интервалом;At a specific intervals
tango.tasks.dto_task.StartType-2;В определенное время;At a specific time
tango.tasks.dto_task.TaskGroup;Категория
tango.tasks.dto_task.GroupTitle;Категория
tango.tasks.dto_task.NextTime;Следующий запуск;Next Time
tango.tasks.dto_task.deactivation;Деактивировать;Deactivation
tango.tasks.dto_task.deactivation.Title;Деактивация объекта;Deactivation object
tango.tasks.dto_task.deactivation.Bulk.Title;Деактивация объектов;Deactivation multiple objects
tango.tasks.dto_task.deactivation.Confirm;Вы действительно хотите деактивировать выбранный объект?;Are you sure you want to deactivation this object?
tango.tasks.dto_task.deactivation.Bulk.Confirm;Вы действительно хотите деактивировать выбранные объекты ({0})?;Are you sure you want to deactivation these {0} objects?
tango.tasks.dto_task.deactivation-op;Деактивировать
tango.tasks.dto_task.parameters-op;Параметры запуска

tango.tasks.dto_taskexecution;Запуск задачи;Task execution log
tango.tasks.dto_taskexecution-pl;Лог запуска задач;Task execution log
tango.tasks.dto_taskexecution.viewlist;Лог запуска;Execution log
tango.tasks.dto_taskexecution.Title;Наименование;Title
tango.tasks.dto_taskexecution.ExecutionLog;Журнал выполнения;Execution log
tango.tasks.dto_taskexecution.FinishDate;Дата/время окончания;Finish date
tango.tasks.dto_taskexecution.IsSuccessfull;Результат;Is successful
tango.tasks.dto_taskexecution.LastModifiedDate;Дата записи;Last modified date
tango.tasks.dto_taskexecution.LastModifiedUser;Пользователь;User
tango.tasks.dto_taskexecution.MachineName;Имя машины;Host name
tango.tasks.dto_taskexecution.ResultXml;Дополнительная информация;Add information
tango.tasks.dto_taskexecution.StartDate;Дата/время запуска;Start date
tango.tasks.dto_taskexecution.Task;Задача;Task
tango.tasks.dto_taskexecution.TaskName;Задача;Task
tango.tasks.dto_taskexecution.UserName;Пользователь;User
tango.tasks.dto_taskexecution.deleteallrecordsbefore;Удалить все записи до;Delete all records before

tango.tasks.dto_taskparameter;Параметр задачи;Task parameter
tango.tasks.dto_taskparameter-pl;Параметры задачи;Task parameters
tango.tasks.dto_taskparameter.MoveDown;Переместить вниз;Move down
tango.tasks.dto_taskparameter.MoveUp;Переместить вверх;Move up
tango.tasks.dto_taskparameter.SeqNo;Порядковый номер;Seq no
tango.tasks.dto_taskparameter.SysName;Системное имя;System name
tango.tasks.dto_taskparameter.Title;Название;Title
tango.tasks.dto_taskparameter.Value;Значение;Value
tango.tasks.dto_taskparameter.Parent;Задача;
tango.tasks.dto_taskparameter.ParentTitle;Задача;
tango.tasks.dto_taskparameter.ParentClass;Класс;
tango.tasks.dto_taskparameter.ParentMethod;Метод;

tango.tasks.dto_taskstarttype-pl;Тип старта задач
tango.tasks.dto_taskstarttype.viewlist;Тип старта задач
tango.tasks.dto_taskstarttype.taskstarttypeid;Код

tango.tasks.dto_taskgroup;Категория задач
